acc_X(g)	acc_Y(g)	acc_Z(g)	Time	Cluster
0.725	0.396	-0.357	2024-01-02 18:02:30.804	2
0.766	0.522	-0.443	2024-01-02 18:02:30.923	2
0.811	0.455	-0.382	2024-01-02 18:02:31.150	2
0.777	0.484	-0.403	2024-01-02 18:02:31.133	2
0.778	0.521	-0.428	2024-01-02 18:02:31.224	2
0.794	0.493	-0.431	2024-01-02 18:02:31.344	2
0.765	0.48	-0.404	2024-01-02 18:02:31.437	2
0.747	0.48	-0.402	2024-01-02 18:02:31.555	2
0.75	0.492	-0.399	2024-01-02 18:02:31.613	2
0.712	0.486	-0.389	2024-01-02 18:02:31.734	2
0.768	0.479	-0.403	2024-01-02 18:02:31.823	2
0.768	0.525	-0.432	2024-01-02 18:02:31.944	2
0.781	0.519	-0.403	2024-01-02 18:02:32.340	2
0.737	0.461	-0.399	2024-01-02 18:02:32.185	2
0.761	0.504	-0.414	2024-01-02 18:02:32.214	2
0.781	0.491	-0.426	2024-01-02 18:02:32.334	2
0.846	0.468	-0.392	2024-01-02 18:02:32.427	2
0.765	0.522	-0.396	2024-01-02 18:02:32.544	2
0.717	0.455	-0.344	2024-01-02 18:02:32.634	2
0.664	0.508	-0.437	2024-01-02 18:02:32.755	2
0.805	0.548	-0.442	2024-01-02 18:02:32.844	2
0.749	0.488	-0.364	2024-01-02 18:02:32.965	2
0.75	0.514	-0.46	2024-01-02 18:02:33.240	2
0.779	0.51	-0.431	2024-01-02 18:02:33.186	2
0.761	0.49	-0.42	2024-01-02 18:02:33.235	2
0.813	0.5	-0.481	2024-01-02 18:02:33.355	2
0.75	0.375	-0.375	2024-01-02 18:02:33.444	2
0.809	0.499	-0.471	2024-01-02 18:02:33.565	2
0.793	0.417	-0.361	2024-01-02 18:02:33.624	2
0.765	0.528	-0.446	2024-01-02 18:02:33.744	2
0.741	0.452	-0.39	2024-01-02 18:02:33.835	2
0.799	0.486	-0.429	2024-01-02 18:02:33.955	2
0.866	0.461	-0.426	2024-01-02 18:02:34.470	2
0.75	0.464	-0.39	2024-01-02 18:02:34.167	2
0.805	0.554	-0.427	2024-01-02 18:02:34.255	2
0.817	0.441	-0.445	2024-01-02 18:02:34.389	2
0.644	0.422	-0.369	2024-01-02 18:02:34.434	2
0.761	0.581	-0.435	2024-01-02 18:02:34.557	2
0.682	0.581	-0.417	2024-01-02 18:02:34.646	2
0.691	0.594	-0.408	2024-01-02 18:02:34.764	2
0.758	0.636	-0.412	2024-01-02 18:02:34.854	2
0.661	0.584	-0.299	2024-01-02 18:02:34.988	1
0.59	0.658	-0.446	2024-01-02 18:02:35.350	2
0.721	0.622	-0.424	2024-01-02 18:02:35.154	2
0.581	0.658	-0.365	2024-01-02 18:02:35.245	1
0.701	0.675	-0.42	2024-01-02 18:02:35.364	2
0.592	0.656	-0.442	2024-01-02 18:02:35.455	2
1.011	0.613	-0.325	2024-01-02 18:02:35.586	2
1.047	0.502	-0.133	2024-01-02 18:02:35.668	2
0.699	0.362	-0.208	2024-01-02 18:02:35.792	2
